IV Test Report_1,,
,,
Date and Time:2026/08/20-14:30:40,,
,,
Material:,perovskite,
9.39500E-1,1.00405E+0,9.43308E-1
9.53000E-1,1.00330E+0,9.56142E-1
9.66500E-1,1.00372E+0,9.70097E-1
9.80000E-1,1.00244E+0,9.82390E-1
9.93500E-1,1.00042E+0,9.93917E-1
1.00700E+0,9.97649E-1,1.00463E+0
1.02050E+0,9.93873E-1,1.01425E+0
1.03400E+0,9.88909E-1,1.02253E+0
1.04750E+0,9.82684E-1,1.02936E+0
1.06100E+0,9.72822E-1,1.03216E+0
1.07450E+0,9.57429E-1,1.02876E+0
1.08800E+0,9.35254E-1,1.01756E+0
1.10150E+0,9.01900E-1,9.93443E-1
1.11500E+0,8.51495E-1,9.49417E-1
1.12850E+0,7.76250E-1,8.75998E-1
1.14200E+0,6.63020E-1,7.57169E-1
1.15550E+0,4.93678E-1,5.70445E-1
1.16900E+0,2.40723E-1,2.81405E-1
1.18250E+0,-9.72432E-2,-1.14990E-1
1.19600E+0,-5.55093E-1,-6.63892E-1
1.20950E+0,-1.13936E+0,-1.37806E+0
1.22300E+0,-1.88367E+0,-2.30373E+0
1.23650E+0,-2.77393E+0,-3.42996E+0
1.25000E+0,-3.81320E+0,-4.76650E+0
,,
,,
,,
