2.51000E-1,1.00700E+0,2.52757E-1,2.51000E-1,1.00560E+0,2.52406E-1,2.51000E-1,1.00243E+0,2.51611E-1,2.51000E-1,1.00620E+0,2.52557E-1
2.64500E-1,1.00645E+0,2.66207E-1,2.64500E-1,1.00566E+0,2.65998E-1,2.64500E-1,1.00314E+0,2.65330E-1,2.64500E-1,1.00538E+0,2.65923E-1
2.78000E-1,1.00574E+0,2.79597E-1,2.78000E-1,1.00663E+0,2.79844E-1,2.78000E-1,1.00268E+0,2.78744E-1,2.78000E-1,1.00667E+0,2.79855E-1
2.91500E-1,1.00670E+0,2.93452E-1,2.91500E-1,1.00656E+0,2.93411E-1,2.91500E-1,1.00230E+0,2.92170E-1,2.91500E-1,1.00584E+0,2.93202E-1
3.05000E-1,1.00803E+0,3.07449E-1,3.05000E-1,1.00715E+0,3.07182E-1,3.05000E-1,1.00204E+0,3.05622E-1,3.05000E-1,1.00678E+0,3.07069E-1
3.18500E-1,1.00757E+0,3.20911E-1,3.18500E-1,1.00639E+0,3.20537E-1,3.18500E-1,1.00219E+0,3.19196E-1,3.18500E-1,1.00586E+0,3.20366E-1
3.32000E-1,1.00645E+0,3.34142E-1,3.32000E-1,1.00580E+0,3.33925E-1,3.32000E-1,1.00215E+0,3.32715E-1,3.32000E-1,1.00608E+0,3.34020E-1
3.45500E-1,1.00624E+0,3.47657E-1,3.45500E-1,1.00570E+0,3.47471E-1,3.45500E-1,1.00247E+0,3.46352E-1,3.45500E-1,1.00627E+0,3.47665E-1
3.59000E-1,1.00593E+0,3.61130E-1,3.59000E-1,1.00646E+0,3.61320E-1,3.59000E-1,1.00337E+0,3.60209E-1,3.59000E-1,1.00761E+0,3.61731E-1
3.72500E-1,1.00649E+0,3.74917E-1,3.72500E-1,1.00636E+0,3.74870E-1,3.72500E-1,1.00294E+0,3.73595E-1,3.72500E-1,1.00747E+0,3.75283E-1
3.86000E-1,1.00669E+0,3.88584E-1,3.86000E-1,1.00630E+0,3.88433E-1,3.86000E-1,1.00230E+0,3.86888E-1,3.86000E-1,1.00685E+0,3.88644E-1
3.99500E-1,1.00709E+0,4.02334E-1,3.99500E-1,1.00657E+0,4.02125E-1,3.99500E-1,1.00153E+0,4.00112E-1,3.99500E-1,1.00597E+0,4.01886E-1
4.13000E-1,1.00773E+0,4.16192E-1,4.13000E-1,1.00605E+0,4.15501E-1,4.13000E-1,1.00281E+0,4.14161E-1,4.13000E-1,1.00675E+0,4.15789E-1
4.26500E-1,1.00661E+0,4.29318E-1,4.26500E-1,1.00598E+0,4.29052E-1,4.26500E-1,1.00207E+0,4.27382E-1,4.26500E-1,1.00628E+0,4.29178E-1
4.40000E-1,1.00674E+0,4.42965E-1,4.40000E-1,1.00560E+0,4.42462E-1,4.40000E-1,1.00196E+0,4.40862E-1,4.40000E-1,1.00610E+0,4.42684E-1
4.53500E-1,1.00605E+0,4.56242E-1,4.53500E-1,1.00620E+0,4.56313E-1,4.53500E-1,1.00237E+0,4.54573E-1,4.53500E-1,1.00646E+0,4.56431E-1
4.67000E-1,1.00733E+0,4.70424E-1,4.67000E-1,1.00662E+0,4.70091E-1,4.67000E-1,1.00229E+0,4.68069E-1,4.67000E-1,1.00713E+0,4.70329E-1
4.80500E-1,1.00730E+0,4.84008E-1,4.80500E-1,1.00658E+0,4.83663E-1,4.80500E-1,1.00148E+0,4.81210E-1,4.80500E-1,1.00610E+0,4.83431E-1
4.94000E-1,1.00711E+0,4.97513E-1,4.94000E-1,1.00537E+0,4.96652E-1,4.94000E-1,1.00188E+0,4.94927E-1,4.94000E-1,1.00569E+0,4.96810E-1
5.07500E-1,1.00716E+0,5.11133E-1,5.07500E-1,1.00589E+0,5.10490E-1,5.07500E-1,1.00178E+0,5.08405E-1,5.07500E-1,1.00515E+0,5.10113E-1
5.21000E-1,1.00650E+0,5.24387E-1,5.21000E-1,1.00611E+0,5.24182E-1,5.21000E-1,1.00229E+0,5.22191E-1,5.21000E-1,1.00616E+0,5.24211E-1
5.34500E-1,1.00566E+0,5.37523E-1,5.34500E-1,1.00632E+0,5.37876E-1,5.34500E-1,1.00169E+0,5.35402E-1,5.34500E-1,1.00601E+0,5.37711E-1
5.48000E-1,1.00630E+0,5.51453E-1,5.48000E-1,1.00595E+0,5.51263E-1,5.48000E-1,1.00190E+0,5.49038E-1,5.48000E-1,1.00615E+0,5.51372E-1
5.61500E-1,1.00736E+0,5.65632E-1,5.61500E-1,1.00628E+0,5.65027E-1,5.61500E-1,1.00149E+0,5.62339E-1,5.61500E-1,1.00573E+0,5.64718E-1
5.75000E-1,1.00742E+0,5.79268E-1,5.75000E-1,1.00600E+0,5.78449E-1,5.75000E-1,1.00218E+0,5.76252E-1,5.75000E-1,1.00555E+0,5.78190E-1
5.88500E-1,1.00675E+0,5.92471E-1,5.88500E-1,1.00619E+0,5.92145E-1,5.88500E-1,1.00165E+0,5.89469E-1,5.88500E-1,1.00579E+0,5.91906E-1
6.02000E-1,1.00623E+0,6.05751E-1,6.02000E-1,1.00548E+0,6.05298E-1,6.02000E-1,1.00238E+0,6.03434E-1,6.02000E-1,1.00619E+0,6.05725E-1
6.15500E-1,1.00693E+0,6.19764E-1,6.15500E-1,1.00576E+0,6.19042E-1,6.15500E-1,1.00184E+0,6.16635E-1,6.15500E-1,1.00673E+0,6.19644E-1
6.29000E-1,1.00671E+0,6.33217E-1,6.29000E-1,1.00604E+0,6.32800E-1,6.29000E-1,1.00174E+0,6.30097E-1,6.29000E-1,1.00577E+0,6.32627E-1
6.42500E-1,1.00661E+0,6.46749E-1,6.42500E-1,1.00521E+0,6.45846E-1,6.42500E-1,1.00175E+0,6.43624E-1,6.42500E-1,1.00562E+0,6.46108E-1
6.56000E-1,1.00726E+0,6.60759E-1,6.56000E-1,1.00531E+0,6.59485E-1,6.56000E-1,1.00214E+0,6.57406E-1,6.56000E-1,1.00520E+0,6.59413E-1
6.69500E-1,1.00733E+0,6.74408E-1,6.69500E-1,1.00554E+0,6.73208E-1,6.69500E-1,1.00237E+0,6.71087E-1,6.69500E-1,1.00611E+0,6.73591E-1
6.83000E-1,1.00584E+0,6.86988E-1,6.83000E-1,1.00603E+0,6.87117E-1,6.83000E-1,1.00262E+0,6.84792E-1,6.83000E-1,1.00499E+0,6.86410E-1
6.96500E-1,1.00592E+0,7.00626E-1,6.96500E-1,1.00569E+0,7.00462E-1,6.96500E-1,1.00143E+0,6.97495E-1,6.96500E-1,1.00566E+0,7.00442E-1
7.10000E-1,1.00595E+0,7.14227E-1,7.10000E-1,1.00605E+0,7.14293E-1,7.10000E-1,1.00085E+0,7.10606E-1,7.10000E-1,1.00629E+0,7.14463E-1
7.23500E-1,1.00629E+0,7.28051E-1,7.23500E-1,1.00498E+0,7.27099E-1,7.23500E-1,1.00127E+0,7.24417E-1,7.23500E-1,1.00597E+0,7.27822E-1
7.37000E-1,1.00640E+0,7.41720E-1,7.37000E-1,1.00534E+0,7.40937E-1,7.37000E-1,1.00114E+0,7.37842E-1,7.37000E-1,1.00444E+0,7.40269E-1
7.50500E-1,1.00602E+0,7.55018E-1,7.50500E-1,1.00518E+0,7.54390E-1,7.50500E-1,1.00216E+0,7.52118E-1,7.50500E-1,1.00469E+0,7.54018E-1
7.64000E-1,1.00595E+0,7.68545E-1,7.64000E-1,1.00628E+0,7.68800E-1,7.64000E-1,1.00230E+0,7.65761E-1,7.64000E-1,1.00535E+0,7.68087E-1
7.77500E-1,1.00537E+0,7.81679E-1,7.77500E-1,1.00615E+0,7.82283E-1,7.77500E-1,1.00196E+0,7.79025E-1,7.77500E-1,1.00605E+0,7.82202E-1
7.91000E-1,1.00654E+0,7.96172E-1,7.91000E-1,1.00599E+0,7.95737E-1,7.91000E-1,1.00080E+0,7.91633E-1,7.91000E-1,1.00610E+0,7.95823E-1
8.04500E-1,1.00708E+0,8.10194E-1,8.04500E-1,1.00495E+0,8.08485E-1,8.04500E-1,1.00173E+0,8.05890E-1,8.04500E-1,1.00539E+0,8.08837E-1
8.18000E-1,1.00709E+0,8.23798E-1,8.18000E-1,1.00544E+0,8.22453E-1,8.18000E-1,1.00096E+0,8.18789E-1,8.18000E-1,1.00506E+0,8.22141E-1
8.31500E-1,1.00581E+0,8.36331E-1,8.31500E-1,1.00447E+0,8.35216E-1,8.31500E-1,1.00207E+0,8.33220E-1,8.31500E-1,1.00417E+0,8.34968E-1
8.45000E-1,1.00636E+0,8.50376E-1,8.45000E-1,1.00503E+0,8.49249E-1,8.45000E-1,1.00210E+0,8.46770E-1,8.45000E-1,1.00543E+0,8.49590E-1
8.58500E-1,1.00597E+0,8.63629E-1,8.58500E-1,1.00514E+0,8.62913E-1,8.58500E-1,1.00258E+0,8.60718E-1,8.58500E-1,1.00607E+0,8.63710E-1
8.72000E-1,1.00617E+0,8.77384E-1,8.72000E-1,1.00554E+0,8.76827E-1,8.72000E-1,1.00079E+0,8.72691E-1,8.72000E-1,1.00524E+0,8.76569E-1
8.85500E-1,1.00630E+0,8.91081E-1,8.85500E-1,1.00496E+0,8.89892E-1,8.85500E-1,1.00021E+0,8.85687E-1,8.85500E-1,1.00443E+0,8.89426E-1
8.99000E-1,1.00616E+0,9.04535E-1,8.99000E-1,1.00392E+0,9.02528E-1,8.99000E-1,9.99307E-1,8.98377E-1,8.99000E-1,1.00474E+0,9.03259E-1
9.12500E-1,1.00594E+0,9.17922E-1,9.12500E-1,1.00356E+0,9.15752E-1,9.12500E-1,9.99296E-1,9.11858E-1,9.12500E-1,1.00399E+0,9.16145E-1
9.26000E-1,1.00504E+0,9.30662E-1,9.26000E-1,1.00372E+0,9.29449E-1,9.26000E-1,9.99210E-1,9.25268E-1,9.26000E-1,1.00297E+0,9.28751E-1
9.39500E-1,1.00405E+0,9.43308E-1,9.39500E-1,1.00346E+0,9.42750E-1,9.39500E-1,9.98458E-1,9.38051E-1,9.39500E-1,1.00268E+0,9.42020E-1
9.53000E-1,1.00330E+0,9.56142E-1,9.53000E-1,1.00230E+0,9.55190E-1,9.53000E-1,9.96822E-1,9.49971E-1,9.53000E-1,1.00297E+0,9.55835E-1
9.66500E-1,1.00372E+0,9.70097E-1,9.66500E-1,1.00126E+0,9.67721E-1,9.66500E-1,9.94742E-1,9.61418E-1,9.66500E-1,1.00112E+0,9.67582E-1
9.80000E-1,1.00244E+0,9.82390E-1,9.80000E-1,9.99546E-1,9.79555E-1,9.80000E-1,9.92591E-1,9.72739E-1,9.80000E-1,9.98290E-1,9.78325E-1
9.93500E-1,1.00042E+0,9.93917E-1,9.93500E-1,9.96856E-1,9.90376E-1,9.93500E-1,9.90569E-1,9.84131E-1,9.93500E-1,9.95279E-1,9.88810E-1
1.00700E+0,9.97649E-1,1.00463E+0,1.00700E+0,9.93565E-1,1.00052E+0,1.00700E+0,9.88249E-1,9.95167E-1,1.00700E+0,9.93323E-1,1.00028E+0
1.02050E+0,9.93873E-1,1.01425E+0,1.02050E+0,9.89069E-1,1.00935E+0,1.02050E+0,9.83526E-1,1.00369E+0,1.02050E+0,9.88606E-1,1.00887E+0
1.03400E+0,9.88909E-1,1.02253E+0,1.03400E+0,9.83947E-1,1.01740E+0,1.03400E+0,9.77381E-1,1.01061E+0,1.03400E+0,9.81645E-1,1.01502E+0
1.04750E+0,9.82684E-1,1.02936E+0,1.04750E+0,9.73695E-1,1.01995E+0,1.04750E+0,9.67063E-1,1.01300E+0,1.04750E+0,9.72347E-1,1.01853E+0
1.06100E+0,9.72822E-1,1.03216E+0,1.06100E+0,9.59412E-1,1.01794E+0,1.06100E+0,9.53433E-1,1.01159E+0,1.06100E+0,9.59184E-1,1.01769E+0
1.07450E+0,9.57429E-1,1.02876E+0,1.07450E+0,9.38243E-1,1.00814E+0,1.07450E+0,9.34144E-1,1.00374E+0,1.07450E+0,9.39963E-1,1.00999E+0
1.08800E+0,9.35254E-1,1.01756E+0,1.08800E+0,9.07612E-1,9.87482E-1,1.08800E+0,9.06914E-1,9.86723E-1,1.08800E+0,9.13286E-1,9.93655E-1
1.10150E+0,9.01900E-1,9.93443E-1,1.10150E+0,8.63636E-1,9.51295E-1,1.10150E+0,8.65407E-1,9.53246E-1,1.10150E+0,8.72257E-1,9.60791E-1
1.11500E+0,8.51495E-1,9.49417E-1,1.11500E+0,7.95729E-1,8.87238E-1,1.11500E+0,8.05288E-1,8.97896E-1,1.11500E+0,8.09527E-1,9.02622E-1
1.12850E+0,7.76250E-1,8.75998E-1,1.12850E+0,6.95081E-1,7.84399E-1,1.12850E+0,7.16004E-1,8.08011E-1,1.12850E+0,7.17443E-1,8.09634E-1
1.14200E+0,6.63020E-1,7.57169E-1,1.14200E+0,5.44869E-1,6.22240E-1,1.14200E+0,5.85318E-1,6.68433E-1,1.14200E+0,5.83397E-1,6.66239E-1
1.15550E+0,4.93678E-1,5.70445E-1,1.15550E+0,3.23235E-1,3.73498E-1,1.15550E+0,3.95908E-1,4.57472E-1,1.15550E+0,3.87918E-1,4.48239E-1
1.16900E+0,2.40723E-1,2.81405E-1,1.16900E+0,2.80245E-2,3.27606E-2,1.16900E+0,1.24438E-1,1.45468E-1,1.16900E+0,1.09159E-1,1.27607E-1
1.18250E+0,-9.72432E-2,-1.14990E-1,1.18250E+0,-3.64123E-1,-4.30575E-1,1.18250E+0,-2.54688E-1,-3.01168E-1,1.18250E+0,-2.75343E-1,-3.25593E-1
1.19600E+0,-5.55093E-1,-6.63892E-1,1.19600E+0,-9.01947E-1,-1.07873E+0,1.19600E+0,-7.75303E-1,-9.27263E-1,1.19600E+0,-7.95449E-1,-9.51357E-1
1.20950E+0,-1.13936E+0,-1.37806E+0,1.20950E+0,-1.54992E+0,-1.87463E+0,1.20950E+0,-1.41782E+0,-1.71485E+0,1.20950E+0,-1.43430E+0,-1.73479E+0
1.22300E+0,-1.88367E+0,-2.30373E+0,1.22300E+0,-2.34270E+0,-2.86512E+0,1.22300E+0,-2.24014E+0,-2.73970E+0,1.22300E+0,-2.23108E+0,-2.72861E+0
1.23650E+0,-2.77393E+0,-3.42996E+0,1.23650E+0,-3.26767E+0,-4.04048E+0,1.23650E+0,-3.22824E+0,-3.99172E+0,1.23650E+0,-3.17418E+0,-3.92487E+0
1.25000E+0,-3.81320E+0,-4.76650E+0,1.25000E+0,-4.32049E+0,-5.40062E+0,1.25000E+0,-4.37994E+0,-5.47492E+0,1.25000E+0,-4.25994E+0,-5.32493E+0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
